Indicator,  Merchandise exports by product group and destination – annual (Million US dollar),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Reporting Economy,Product/Sector,Partner Economy,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Africa,SI3_AGG - AGFO - Food,"Commonwealth of Independent States (CIS), including associate and former member States",,,168,205,282,351,394,468,414,539,798,759,832,1143,1031,1100,1058,993,923,1067,
Africa,SI3_AGG - AGFO - Food,Europe,,,7384,7408,8238,10003,11401,11531,12489,14309,16273,15803,16728,18305,18389,19828,18405,18467,19707,20480,
Africa,SI3_AGG - AGFO - Food,Four East Asian traders,,,261,282,251,305,359,328,336,429,437,427,692,1106,1182,984,1337,976,1063,1281,
Africa,SI3_AGG - AGFO - Food,India,,,223,145,177,187,309,346,301,368,573,552,700,874,1176,1164,1773,2324,1917,1463,
Africa,SI3_AGG - AGFO - Food,Japan,,,771,701,659,627,660,763,788,659,850,700,744,866,1162,1293,946,701,835,1004,
Africa,SI3_AGG - AGFO - Food,Least-developed countries,,,1088,1203,1642,1916,1973,2070,2695,2877,3739,4084,4915,5579,6499,6891,7403,6696,6167,6889,
Africa,SI3_AGG - AGFO - Food,Mexico,,,10,13,17,17,25,14,19,38,38,55,90,464,392,159,96,86,86,75,
Africa,SI3_AGG - AGFO - Food,Middle East,,,811,698,802,938,1065,1285,1564,1591,2567,3470,4033,4536,4108,4801,4110,4658,4720,5185,
Africa,SI3_AGG - AGFO - Food,Non-EU south-eastern Europe,,,88,86,120,110,222,183,241,310,399,457,457,405,484,748,688,756,769,795,
Africa,SI3_AGG - AGFO - Food,Non-EU western Europe,,,221,216,185,194,229,277,376,366,466,374,352,402,481,484,376,266,242,326,
Africa,SI3_AGG - AGFO - Food,North America,,,747,797,900,1025,1243,1380,1311,1268,1712,1899,2051,2839,3335,2207,2279,2519,2712,3077,
Africa,SI3_AGG - AGFO - Food,Other Africa,,,2141,2373,2669,3250,3586,3925,4281,5155,6935,7711,8744,10641,11351,12100,12789,12780,11758,13156,
Africa,SI3_AGG - AGFO - Food,Other Asia,,,300,361,215,375,475,552,700,758,884,1134,1494,1799,2179,2246,2495,2090,3104,3485,
Africa,SI3_AGG - AGFO - Food,Other CIS,,,10,21,14,32,77,72,77,93,181,156,168,217,233,193,173,155,128,106,
Africa,SI3_AGG - AGFO - Food,Russian Federation,,,157,184,268,318,317,397,337,445,617,603,664,925,798,907,885,838,794,962,
Africa,SI3_AGG - AGFO - Food,Six East Asian traders,,,308,341,305,387,515,519,559,749,790,725,1060,1697,1917,1787,2050,1632,2072,2507,
Africa,SI3_AGG - AGFO - Food,South Africa,,,520,590,341,500,567,613,751,768,671,769,1043,1457,1977,2011,1882,1749,1769,2004,
Africa,SI3_AGG - AGFO - Food,South and Central America and the Caribbean,,,84,56,58,82,62,70,91,179,342,1534,626,988,1533,263,273,240,445,443,
