Indicator,  Merchandise exports by product group and destination – annual (Million US dollar),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Reporting Economy,Product/Sector,Partner Economy,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOFI - Fish,Other CIS,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOFI - Fish,Russian Federation,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOFI - Fish,South Africa,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOFI - Fish,South and Central America and the Caribbean,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOFI - Fish,United States of America,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,World,,,323,326,417,492,523,505,511,567,683,543,1041,1132,1110,866,1017,1133,1568,794,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,Africa,,,49,44,53,82,76,87,92,120,156,148,155,160,153,148,157,123,150,124,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,Asia,,,1,0,1,1,6,8,18,19,39,38,65,62,52,64,115,96,168,104,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,Australia and New Zealand,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,Brazil,,,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,Central African Economic and Monetary Community (CAEMC),,,37,35,38,59,61,80,76,103,133,123,132,140,137,133,81,56,71,60,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,China,,,0,0,0,0,0,0,0,0,1,0,1,4,2,2,4,5,5,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,"Commonwealth of Independent States (CIS), including associate and former member States",,,0,1,0,0,0,1,1,1,1,1,3,3,3,2,3,1,2,2,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,Europe,,,259,275,344,377,412,383,381,402,466,322,766,863,850,614,700,884,1191,528,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,Extra CEMAC Trade,,,31,31,35,56,58,72,72,100,128,115,115,133,130,125,138,100,120,92,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,Four East Asian traders,,,0,0,0,0,0,0,0,0,1,1,0,1,1,2,12,9,0,1,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,India,,,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,Japan,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,Least-developed countries,,,12,12,16,30,28,35,31,36,42,50,68,55,51,51,66,51,66,45,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,Mexico,,,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,Middle East,,,2,1,0,0,1,0,0,0,1,1,2,2,2,2,2,1,1,3,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,Non-EU south-eastern Europe,,,0,0,10,8,23,8,15,7,3,11,8,3,14,24,16,23,35,38,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,Non-EU western Europe,,,1,0,0,1,0,0,0,0,0,1,0,0,9,0,0,0,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,North America,,,12,5,19,30,27,26,17,19,20,31,49,42,49,35,41,27,54,33,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,Other Africa,,,49,43,52,81,76,86,92,119,156,148,151,160,153,148,157,123,150,124,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,Other Asia,,,0,0,0,1,6,8,18,19,35,37,63,57,49,58,98,82,161,101,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,Other CIS,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,Russian Federation,,,0,1,0,0,0,1,1,1,1,1,3,3,3,2,3,1,2,2,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,South Africa,,,1,0,0,1,0,1,0,1,0,0,4,0,0,0,1,0,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,South and Central America and the Caribbean,,,0,0,0,0,0,0,1,6,1,2,1,0,1,1,0,1,2,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGFOOF - Other food products,United States of America,,,10,4,18,30,19,23,16,18,18,31,48,41,48,34,40,26,53,33,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,World,,,755,955,708,924,1079,1430,1474,1688,1854,1343,1856,2141,2615,2626,2729,2105,2450,2506,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,Africa,,,32,48,42,45,95,87,78,103,135,65,142,93,82,84,92,57,62,55,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,Asia,,,284,308,270,407,455,537,584,677,766,690,1081,1334,1873,1845,2024,1418,1683,1948,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,Australia and New Zealand,,,0,0,0,0,0,0,0,0,1,0,61,150,186,151,171,74,70,73,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,Brazil,,,3,0,0,0,0,0,0,7,1,3,3,3,3,2,1,1,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,Central African Economic and Monetary Community (CAEMC),,,1,3,2,3,48,16,4,1,2,1,1,3,3,5,3,0,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,China,,,196,197,192,305,339,424,499,567,639,554,827,819,923,983,1254,961,1186,1526,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,"Commonwealth of Independent States (CIS), including associate and former member States",,,0,1,1,1,2,2,3,3,2,0,2,1,1,1,1,1,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,Europe,,,414,573,377,453,497,750,740,813,862,531,560,618,564,597,519,541,620,427,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,Extra CEMAC Trade,,,0,1,1,2,48,13,4,1,2,1,1,3,3,2,7,2,3,2,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,Four East Asian traders,,,27,35,17,22,20,24,25,21,19,8,6,4,12,11,17,11,10,6,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,India,,,22,30,23,27,32,28,28,54,49,57,85,91,103,103,100,112,98,82,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,Japan,,,14,11,8,7,5,3,3,3,2,3,11,136,550,453,293,57,14,16,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,Least-developed countries,,,6,11,9,15,22,26,17,23,20,34,29,39,26,37,76,90,107,100,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,Mexico,,,4,5,4,1,0,0,1,4,5,1,1,1,1,0,0,0,1,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,Middle East,,,8,7,2,4,5,7,12,11,20,17,17,21,25,22,25,22,17,14,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,Non-EU south-eastern Europe,,,15,11,14,18,18,29,26,45,32,19,34,47,31,30,33,25,34,38,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,Non-EU western Europe,,,9,3,0,0,2,13,5,6,3,1,1,1,2,2,1,1,2,1,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,North America,,,12,17,14,13,18,38,49,52,56,35,49,64,62,71,64,60,63,57,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,Other Africa,,,27,44,34,39,93,72,62,81,113,55,126,71,60,63,73,44,51,42,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,Other Asia,,,25,35,30,46,59,56,27,32,55,67,90,133,100,142,189,203,305,244,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,Other CIS,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,Russian Federation,,,0,1,1,1,2,2,2,3,2,0,2,1,1,1,0,1,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,South Africa,,,5,5,8,6,2,15,16,22,23,10,16,22,22,21,20,13,11,14,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,South and Central America and the Caribbean,,,5,1,1,1,7,9,8,16,12,5,6,9,8,7,5,5,5,4,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - AGRA - Raw materials,United States of America,,,7,11,9,12,16,36,45,41,47,32,45,57,54,65,59,55,56,53,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,World,,,351,326,395,591,696,768,736,1209,1313,1125,1758,2308,2704,2563,2530,1595,1441,1325,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,Africa,,,57,80,113,136,137,157,153,385,520,602,1003,845,890,871,749,492,468,427,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,Asia,,,62,29,8,11,17,28,15,15,13,16,295,724,914,763,873,419,409,448,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,Australia and New Zealand,,,0,0,0,0,0,4,0,0,1,1,284,697,860,701,792,342,325,339,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,Brazil,,,0,0,1,1,1,0,0,0,8,1,4,1,1,2,3,1,1,2,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,Central African Economic and Monetary Community (CAEMC),,,28,40,69,86,76,76,62,298,414,462,508,670,704,650,441,266,279,251,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,China,,,0,0,2,3,6,12,5,3,2,2,3,7,2,2,5,3,8,20,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,"Commonwealth of Independent States (CIS), including associate and former member States",,,0,0,0,2,0,1,1,2,1,1,1,2,2,1,1,2,2,1,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,Europe,,,202,174,190,307,388,402,410,501,467,338,274,543,741,713,693,524,450,291,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,Extra CEMAC Trade,,,27,36,65,78,66,62,52,279,399,456,462,662,697,635,570,372,373,330,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,Four East Asian traders,,,1,1,3,3,3,2,1,1,1,3,1,4,6,9,23,22,3,3,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,India,,,7,0,1,2,3,4,6,8,5,8,4,9,8,8,3,5,33,51,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,Japan,,,0,1,0,1,0,0,0,0,0,0,0,1,2,1,1,1,8,1,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,Least-developed countries,,,20,28,54,63,50,59,50,168,118,138,151,150,161,184,158,124,156,112,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,Mexico,,,1,0,2,1,1,1,1,0,0,4,0,1,0,0,5,3,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,Middle East,,,2,2,4,15,30,15,27,76,73,70,19,21,19,18,23,13,22,18,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,Non-EU south-eastern Europe,,,0,0,0,0,1,1,1,1,2,0,1,54,53,58,58,56,59,60,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,Non-EU western Europe,,,1,0,1,0,2,3,9,3,6,8,7,10,5,2,5,3,8,7,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,North America,,,27,39,79,118,122,162,108,219,217,95,159,136,127,168,176,135,80,127,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,Other Africa,,,56,79,112,134,134,152,151,383,515,595,997,839,882,830,740,479,463,418,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,Other Asia,,,53,26,2,2,5,6,2,3,3,2,3,7,35,42,49,46,31,34,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,Other CIS,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,Russian Federation,,,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,2,2,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,South Africa,,,1,1,1,2,2,5,2,3,6,7,6,6,8,42,9,13,5,9,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,South and Central America and the Caribbean,,,1,1,1,1,3,2,1,5,21,2,5,33,6,6,5,3,2,4,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MA - Manufactures,United States of America,,,22,36,76,115,113,156,102,215,210,87,153,131,123,135,139,108,78,123,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,World,,,12,61,102,184,155,247,214,388,359,227,282,443,518,640,592,414,415,295,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,Africa,,,9,14,20,24,23,20,16,43,53,61,136,79,135,120,102,78,103,71,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,Asia,,,0,0,1,3,4,12,6,3,1,1,1,4,31,39,41,43,55,38,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,Australia and New Zealand,,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,Brazil,,,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,Central African Economic and Monetary Community (CAEMC),,,4,7,13,18,14,14,12,32,39,43,48,55,100,83,12,9,20,12,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,China,,,0,0,0,2,3,9,4,1,0,0,0,1,0,0,0,0,0,9,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,"Commonwealth of Independent States (CIS), including associate and former member States",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,Europe,,,1,24,26,61,38,68,105,141,120,89,7,242,250,327,294,186,191,75,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,Extra CEMAC Trade,,,4,6,12,17,13,13,11,28,37,41,42,52,96,77,68,60,83,46,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,Four East Asian traders,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,India,,,0,0,1,1,1,1,1,1,1,1,1,3,2,1,1,1,20,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,Japan,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,Least-developed countries,,,2,3,8,10,8,11,6,16,28,30,39,42,46,64,54,44,60,27,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,Mexico,,,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,Middle East,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,Non-EU south-eastern Europe,,,0,0,0,0,0,0,0,0,0,0,0,48,48,48,48,48,48,48,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,Non-EU western Europe,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,North America,,,1,23,56,95,90,146,87,202,184,75,134,116,100,152,153,105,65,110,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,Other Africa,,,9,14,20,24,23,20,16,43,53,61,135,79,135,120,102,78,103,71,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,Other Asia,,,0,0,0,0,0,0,1,0,0,0,0,1,29,38,40,41,27,29,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,Other CIS,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,Russian Federation,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,South Africa,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,South and Central America and the Caribbean,,,0,0,0,0,0,0,0,1,1,1,4,2,2,1,2,1,1,1,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACH - Chemicals,United States of America,,,1,23,56,95,89,146,87,201,183,72,134,116,100,122,118,82,65,110,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,World,,,11,59,101,181,153,242,212,386,354,224,,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,Africa,,,9,13,19,24,22,19,15,42,50,59,135,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,Asia,,,0,0,0,2,4,9,5,2,1,1,,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,Australia and New Zealand,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,Brazil,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,Central African Economic and Monetary Community (CAEMC),,,4,7,13,18,13,13,11,32,38,43,,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,China,,,0,0,0,2,3,9,4,1,0,0,,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,"Commonwealth of Independent States (CIS), including associate and former member States",,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,Europe,,,1,23,26,60,38,68,105,140,118,89,,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,Extra CEMAC Trade,,,4,6,12,17,13,13,11,28,37,40,,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,Four East Asian traders,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,India,,,0,0,0,0,1,0,0,1,1,0,,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,Japan,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,Least-developed countries,,,2,2,8,10,8,10,6,15,25,29,,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,Mexico,,,0,0,0,0,0,0,0,0,0,3,0,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,Middle East,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,Non-EU south-eastern Europe,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,Non-EU western Europe,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,North America,,,1,23,56,95,89,146,87,202,184,75,134,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,Other Africa,,,9,13,19,24,22,19,15,42,50,59,135,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,Other Asia,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,Other CIS,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,Russian Federation,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,South Africa,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,South and Central America and the Caribbean,,,0,0,0,0,0,0,0,0,1,1,,,,,,,,,
Central African Economic and Monetary Community (CAEMC),SI3_AGG - MACHOC - Other chemicals,United States of America,,,1,23,56,95,89,145,87,201,183,72,,,,,,,,,
Central African Republic,SI3_AGG - AG - Agricultural products,World,43,41,19,23,20,18,50,49,30,67,60,28,34,33,37,22,21,19,29,27,34
Central African Republic,SI3_AGG - AGFO - Food,World,6,14,8,2,1,1,2,1,0,4,2,3,1,1,0,0,0,1,0,3,2
Central African Republic,SI3_AGG - MA - Manufactures,World,63,67,54,36,34,24,18,42,53,29,13,2,3,4,10,3,0,67,50,105,92
Central African Republic,SI3_AGG - MACH - Chemicals,World,0,0,0,1,0,0,1,0,0,0,0,,0,0,1,0,0,0,0,0,0
Chile,SI3_AGG - AG - Agricultural products,World,5595,5917,6399,6966,6561,7936,9716,10731,12158,14436,16468,14363,15779,18905,18842,20799,21847,19571,20246,21305,24120
Chile,SI3_AGG - AGFO - Food,World,4159,4295,4424,4897,4792,6015,7121,8087,9192,10431,12212,11082,11816,14241,14418,15937,16746,15046,15862,16603,18289
Chile,SI3_AGG - MA - Manufactures,World,2400,2466,2795,3184,2824,3957,4824,6146,7404,8158,9811,7029,8489,10567,10432,9987,10398,8677,8591,8942,9871
Chile,SI3_AGG - MACH - Chemicals,World,776,764,1027,1173,1085,1356,1685,2116,2580,2470,3280,2133,2850,3508,3850,3586,3254,2827,2992,3326,3898
China,SI3_AGG - AG - Agricultural products,World,14314,14209,16384,16626,18796,22158,24121,28711,32542,38862,42258,40883,51607,64613,66175,70159,74476,72678,75476,78438,82793
China,SI3_AGG - AGFO - Food,World,12182,11734,13559,14222,16164,19242,20815,24635,27863,33161,35887,35319,44153,54168,56318,59983,63494,63173,66205,68998,71548
China,SI3_AGG - MA - Manufactures,World,160342,172060,219859,235822,292561,396993,542366,700342,895390,1136143,1331388,1124743,1476532,1771858,1924928,2077150,2201686,2143718,1965697,2116384,2318153
China,SI3_AGG - MACH - Chemicals,World,10321,10373,12098,13352,15325,19581,26360,35772,44529,60341,79313,62008,87519,114723,113522,119566,134482,129526,121846,141230,166130
Colombia,SI3_AGG - AG - Agricultural products,World,4004,3372,3106,2883,2917,3003,3571,4599,4922,5858,6693,5971,5757,7059,6629,6674,7348,6935,6865,7342,7297
Colombia,SI3_AGG - AGFO - Food,World,3419,2796,2502,2233,2201,2278,2821,3636,3859,4577,5403,4850,4447,5722,5251,5180,5819,5505,5411,5858,5718
Colombia,SI3_AGG - MA - Manufactures,World,3454,3435,4240,4842,4496,4495,6196,7357,8678,11753,11850,9016,8751,9937,9954,9936,9396,8361,7526,7721,8328
Colombia,SI3_AGG - MACH - Chemicals,World,1092,1180,1333,1362,1330,1219,1542,1786,2024,2413,2951,2716,2847,3312,3429,3727,3688,3423,3030,3053,3211
Common Market for Eastern and Southern Africa (COMESA),SI3_AGG - AG - Agricultural products,World,,,5712,5703,5175,6796,8018,8213,8984,10686,12695,14109,16105,19054,19414,19786,19336,18668,18191,20781,
Common Market for Eastern and Southern Africa (COMESA),SI3_AGG - AG - Agricultural products,Africa,,,1340,1330,1078,1580,1852,1848,2202,2766,3174,3672,4568,5902,6804,6575,6634,6342,5563,6801,
Common Market for Eastern and Southern Africa (COMESA),SI3_AGG - AG - Agricultural products,Asia,,,901,880,742,1089,1380,1193,1175,1355,1426,1547,2044,2499,2728,2525,2707,2328,2244,2864,
Common Market for Eastern and Southern Africa (COMESA),SI3_AGG - AG - Agricultural products,Australia and New Zealand,,,35,31,56,84,87,85,81,108,100,100,113,67,45,60,56,58,52,71,
Common Market for Eastern and Southern Africa (COMESA),SI3_AGG - AG - Agricultural products,Brazil,,,7,8,12,5,5,3,3,10,7,11,8,17,16,14,17,14,28,25,
Common Market for Eastern and Southern Africa (COMESA),SI3_AGG - AG - Agricultural products,China,,,103,124,66,93,205,285,262,262,210,435,527,727,646,612,617,474,305,641,
Common Market for Eastern and Southern Africa (COMESA),SI3_AGG - AG - Agricultural products,Common Market for Eastern and Southern Africa (COMESA),,,607,620,575,907,1012,1014,1388,1642,2068,2229,2945,3237,3136,2864,2635,2690,2542,3271,
Common Market for Eastern and Southern Africa (COMESA),SI3_AGG - AG - Agricultural products,"Commonwealth of Independent States (CIS), including associate and former member States",,,31,42,53,92,121,150,159,223,337,390,407,622,466,523,567,560,483,532,
Common Market for Eastern and Southern Africa (COMESA),SI3_AGG - AG - Agricultural products,Europe,,,2561,2605,2364,2993,3453,3802,4107,4846,5269,5141,5269,5760,5480,5871,5665,5171,5435,5642,
Common Market for Eastern and Southern Africa (COMESA),SI3_AGG - AG - Agricultural products,Extra COMESA Trade,,,5106,5082,4600,5888,7006,7199,7596,9044,10627,11880,13160,15817,16278,16923,16701,15978,15649,17510,
Common Market for Eastern and Southern Africa (COMESA),SI3_AGG - AG - Agricultural products,Four East Asian traders,,,182,197,145,202,253,154,158,213,202,192,220,449,337,312,325,321,348,428,
