country_1,Genre_1,Genre_2,Genre_3,imdb_title_id,title,year,date_published,duration,language,director,writer,production_company,avg_vote,votes,reviews_from_users,reviews_from_critics,weighted_average_vote,total_votes,males_allages_avg_vote,males_allages_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes
UK,Horror, Thriller,,tt0139426,Lighthouse,1999,2002-07-17,95,English,Simon Hunter,"Simon Hunter, Graeme Scarfe",British Screen Productions,4.9,1146,49,21,4.9,1146,4.9,765,4.9,39,5.1,391,4.7,323,4.6,110,4.5,10,4.7,60,4.5,40,4.8,58,5.0,186,4.9,657
USA,Action, Fantasy, Horror,tt0139465,The Minion,1998,1998-01-01,95,English,Jean-Marc Piché,"Matt Roe, Ripley Highsmith",Taurus 7 Film Corporation,4.0,1497,20,14,4.0,1497,3.9,1054,4.3,60,3.9,707,3.9,266,4.2,113,4.2,15,4.2,60,4.6,37,4.0,89,4.3,261,3.8,845
USA,Drama, Horror,,tt0139893,Bits and Pieces,1985,1985-01-01,85,English,Leland Thomas,"Michael Koby, Leland Thomas",,4.0,100,7,6,4.0,100,3.8,67,3.8,5,4.0,33,3.7,27,3.4,9,0.0,0,2.8,4,5.0,4,3.2,18,3.9,38,3.6,32
USA,Horror,,,tt0140067,The Gardener,1998,2000-12-22,105,English,James D.R. Hickox,Joseph Gunn,Sheen Productions,3.5,232,12,1,3.5,232,3.5,152,3.2,4,3.4,67,3.5,78,3.9,19,7.5,2,4.0,10,3.6,7,3.4,26,3.2,51,3.5,120
Japan,Drama, Horror,,tt0140384,Môjû,1969,1969-01-25,86,Japanese,Yasuzô Masumura,"Rampo Edogawa, Yoshio Shirasaka",Daiei Motion Picture Company,7.2,2743,34,33,7.2,2743,7.2,1986,7.5,257,7.3,1124,6.9,564,7.4,300,7.2,63,7.4,159,7.4,69,6.0,141,7.1,659,7.2,1478
USA,Horror,,,tt0140533,Satan's Black Wedding,1976,1980-01-01,61,English,Nick Millard,Nick Millard,I.R.M.I. Films,4.8,228,9,22,4.8,228,4.8,162,7.1,17,4.4,69,4.6,72,4.9,31,5.9,5,5.3,13,4.4,12,4.1,29,4.9,126,4.6,62
USA,Horror,,,tt0140581,The Suckling,1990,1992-02-12,89,English,Francis Teri,Francis Teri,,4.7,731,26,36,4.7,731,4.6,549,5.0,67,4.7,335,4.0,133,5.3,45,4.7,8,5.5,23,5.3,12,3.8,52,4.8,261,4.4,283
USA,Comedy, Horror, Sci-Fi,tt0140614,They Bite,1996,1996-04-02,98,English,Brett Piper,Brett Piper,Trio Entertainment,4.7,204,8,6,4.7,204,4.6,151,3.2,15,4.5,83,4.9,48,5.3,17,6.0,3,5.7,7,5.5,6,4.1,20,5.1,77,4.4,74
Japan,Horror,,,tt0141861,Sûîto Homu,1989,1989-01-21,100,Japanese,Kiyoshi Kurosawa,Kiyoshi Kurosawa,Itami Productions,6.6,502,10,11,6.6,502,6.6,386,6.9,63,6.6,239,6.2,68,7.0,26,6.9,6,7.5,16,5.0,4,5.8,21,6.9,128,6.5,241
UK,Horror,,,tt0141897,Terror,1978,1978-01-01,84,English,Norman J. Warren,"David McGillivray, Les Young",Bowergange Productions,5.1,1054,40,37,5.1,1054,5.0,795,5.1,63,5.1,373,4.9,340,5.1,66,6.5,10,5.0,29,4.3,23,4.8,93,5.1,273,5.0,523
USA,Horror,,,tt0141996,Wolfman,1979,1979-02-01,102,English,Worth Keeter,Worth Keeter,E.O. Corporation,2.7,316,18,4,2.7,316,2.8,213,2.9,21,2.9,82,2.7,104,1.9,18,1.0,6,4.7,3,2.3,9,3.1,33,3.0,132,2.6,90
Japan,Horror,,,tt0142257,Kyôfu kikei ningen: Edogawa Rampo zenshû,1969,1969-10-31,99,Japanese,Teruo Ishii,"Teruo Ishii, Masahiro Kakefuda",Toei Company,6.5,1147,26,53,6.5,1147,6.5,851,6.5,112,6.6,476,6.3,242,6.6,105,6.7,27,6.5,50,6.7,23,6.3,81,6.5,313,6.6,558
Japan,Fantasy, Horror,,tt0142360,Hebi musume to hakuhatsuma,1968,1968-01-01,82,Japanese,Noriaki Yuasa,"Kimiyuki Hasegawa, Kazuo Kozu",Daiei Motion Picture Company,6.1,117,4,5,6.1,117,6.1,85,5.7,11,6.3,45,5.9,27,6.2,11,5.8,4,6.8,5,6.0,2,5.8,8,5.5,26,6.3,60
Canada,Crime, Drama, Horror,tt0142804,Resurrection,1999,1999-06-05,108,"English, French",Russell Mulcahy,"Brad Mirman, Christopher Lambert",Interlight,6.1,8469,113,35,6.1,8469,6.2,5855,6.4,391,6.2,3910,6.0,1428,6.2,712,6.1,87,6.2,419,6.2,185,5.4,223,6.0,1102,6.1,4991
USA,Horror,,,tt0142906,Terrified,1963,1963-05-01,81,English,Lew Landers,Richard Bernstein,Bern-Field Productions,4.3,390,22,12,4.3,390,4.3,288,4.2,27,4.2,95,4.4,160,4.5,23,4.8,4,4.3,11,4.9,8,4.0,43,4.3,194,4.3,101
Japan,Crime, Drama, Horror,tt0142920,Tokugawa irezumi-shi: Seme jigoku,1969,1969-05-02,90,Japanese,Teruo Ishii,,Toei Company,5.8,257,6,5,5.8,257,5.8,186,7.3,12,5.6,103,5.7,65,6.1,19,6.2,4,6.7,9,6.0,5,4.6,20,5.5,35,5.8,158
Japan,Drama, Horror,,tt0143010,Zankoku ijô gyakutai monogatari: Genroku onna keizu,1969,1969-01-09,89,Japanese,Teruo Ishii,"Teruo Ishii, Masahiro Kakefuda",Toei Company,6.1,213,2,14,6.1,213,6.0,163,6.1,15,6.1,83,5.8,54,5.9,7,8.7,3,6.0,2,5.0,1,5.7,24,6.4,37,6.1,119
USA,Horror, Mystery, Thriller,tt0143016,The Zodiac Killer,1971,1971-04-07,87,English,Tom Hanson,"Ray Cantrell, Manny Cardoza",,4.3,570,24,28,4.3,570,4.4,409,4.6,40,4.4,172,4.3,192,3.5,50,2.7,3,4.0,19,3.2,24,3.8,74,4.4,278,4.2,158
Italy,Adventure, Horror, Sci-Fi,tt0143338,Killer Crocodile,1989,1989-07-30,90,"English, Italian",Fabrizio De Angelis,"Fabrizio De Angelis, Fabrizio De Angelis",Fulvia Film,4.5,788,22,30,4.5,788,4.4,608,4.8,66,4.5,383,3.9,139,4.7,39,6.0,3,5.0,24,4.1,10,4.3,67,4.8,110,4.3,468
USA,Drama, Horror, Thriller,tt0143952,Trapped Alive,1988,1988-12-23,92,English,Leszek Burzynski,"Leszek Burzynski, Julian Weaver",Filmworld International,4.2,187,5,17,4.2,187,4.1,148,4.4,13,4.3,84,4.0,47,4.7,15,6.0,3,4.8,8,4.0,3,4.1,33,4.5,65,4.1,81
USA,Comedy, Horror,,tt0144120,Bride of Chucky,1998,1998-10-16,89,English,Ronny Yu,"Don Mancini, Don Mancini",Midwinter Productions Inc.,5.4,49495,313,108,5.4,49495,5.4,32200,5.5,7603,5.3,19332,5.3,4035,5.4,7424,5.6,2498,5.3,3829,5.1,777,5.3,494,5.4,12105,5.3,21555
Czech Republic,Action, Drama, Horror,tt0144156,Dark Confessions,1998,2000-06-13,92,English,Lloyd A. Simandl,"Chris Hyde, David Speranza",North American Pictures,3.7,138,4,2,3.7,138,3.5,93,3.1,8,3.7,40,3.4,43,4.3,8,10.0,1,4.0,3,7.0,4,3.8,18,4.4,22,3.2,73
USA,Comedy, Horror,,tt0144223,"Goremet, Zombie Chef from Hell",1986,1986-01-01,67,English,Don Swan,"Jeff Baughn, William Highsmith",Swanfilms,2.4,262,19,5,2.4,262,2.4,181,2.8,16,2.4,117,1.9,44,2.6,23,2.4,9,3.0,12,2.5,2,1.6,22,3.0,100,1.9,93
Czech Republic,Action, Drama, Horror,tt0144233,Hell Mountain,1998,1998-01-01,94,English,Mike Rohl,Chris Hyde,Canadian Film or Video Production Tax Credit (CPTC),3.7,206,8,5,3.7,206,3.5,144,2.2,7,3.4,74,4.0,62,5.6,12,3.0,1,4.8,4,6.0,7,3.3,23,4.6,48,3.4,103
USA,Horror,,,tt0144547,Ozone: The Attack of the Redneck Mutants,1986,1989-05-01,93,English,Matt Devlen,Brad Redd,,3.2,178,4,11,3.2,178,3.1,139,3.3,16,3.3,85,2.8,33,5.7,9,5.0,1,3.8,5,10.0,2,1.9,14,3.6,41,3.1,97
Germany,Comedy, Horror,,tt0144555,Premutos - Der gefallene Engel,1997,1997-01-01,106,German,Olaf Ittenbach,Olaf Ittenbach,IMAS Filmproduktion,5.3,1394,31,31,5.3,1394,5.3,1044,5.8,91,5.3,716,4.7,206,5.1,77,5.5,6,5.1,57,3.7,13,4.7,47,5.7,238,5.2,813
USA,Comedy, Horror, Thriller,tt0144637,Tequila Body Shots,1999,2006-08-08,97,English,Tony Shyu,Tony Shyu,Showtown Films Inc.,3.7,318,19,5,3.7,318,3.4,192,3.2,7,3.4,96,3.5,85,4.9,54,7.0,2,4.5,31,4.8,20,3.3,27,3.9,149,3.1,94
USA,Horror, Sci-Fi, Thriller,tt0144814,The Rage: Carrie 2,1999,1999-03-12,104,English,"Katt Shea, Robert Mandel","Stephen King, Rafael Moreu",United Artists,4.7,14840,256,100,4.7,14840,4.6,8537,4.6,874,4.5,5496,4.6,1970,5.0,3101,5.1,493,5.0,2072,4.9,433,4.4,314,4.8,4988,4.5,5547
USA,Horror,,,tt0145531,Stigmata,1999,2000-01-21,103,"English, Assyrian Neo-Aramaic, Portuguese, Italian, Aramaic",Rupert Wainwright,"Tom Lazarus, Tom Lazarus",Metro-Goldwyn-Mayer (MGM),6.2,61674,404,146,6.2,61674,6.1,37925,6.0,2682,6.1,25935,6.1,8351,6.5,10537,6.4,1467,6.5,7018,6.5,1682,5.7,499,6.0,13054,6.2,30679
USA,Horror, Mystery, Thriller,tt0146336,Urban Legend,1998,1999-04-16,99,English,Jamie Blanks,Silvio Horta,Phoenix Pictures,5.6,56498,432,123,5.6,56498,5.5,34908,5.7,4766,5.4,23649,5.4,5386,5.8,10281,6.0,2411,5.8,6543,5.9,970,5.5,513,5.6,13394,5.4,26258
