imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,production_company,avg_vote,votes,reviews_from_users,reviews_from_critics,weighted_average_vote,total_votes,males_allages_avg_vote,males_allages_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes
tt0027407,Bullets or Ballots,1936,1936-06-06,"Crime, Drama, Film-Noir",82,USA,English,William Keighley,"Seton I. Miller, Martin Mooney",Warner Bros.,7.1,2357,32,15,7.1,2357,7.0,1662,7.1,91,7.0,614,7.0,922,7.2,242,7.2,24,7.0,80,7.4,131,6.8,213,7.1,986,6.9,841
tt0027652,Fury,1936,1936-06-05,"Crime, Drama, Film-Noir",92,USA,English,Fritz Lang,"Bartlett Cormack, Fritz Lang",Metro-Goldwyn-Mayer (MGM),7.9,10445,69,50,7.9,10445,7.9,7469,8.1,926,7.9,3582,7.9,2802,7.9,1042,8.0,154,7.9,442,7.9,427,7.6,332,7.8,3044,8.0,5015
tt0027664,The General Died at Dawn,1936,1936-10-30,"Adventure, Crime, Film-Noir",98,USA,English,Lewis Milestone,"Clifford Odets, Charles G. Booth",Paramount Pictures,6.6,974,19,15,6.6,974,6.6,675,6.3,30,6.5,169,6.6,462,6.7,96,4.8,10,6.7,33,7.1,51,6.9,124,6.7,374,6.5,368
tt0027697,Great Guy,1936,1936-12-01,"Crime, Drama, Film-Noir",66,USA,English,John G. Blystone,"James Edward Grant, Henry McCarty",Zion Meyers Productions,6.3,791,31,5,6.3,791,6.2,553,6.7,21,6.3,176,6.2,348,6.5,79,7.0,10,6.0,27,6.9,42,6.0,101,6.4,317,6.1,288
tt0028096,The Petrified Forest,1936,1936-02-08,"Drama, Film-Noir, Romance",82,USA,English,Archie Mayo,"Charles Kenyon, Delmer Daves",Warner Bros.,7.6,11555,108,56,7.6,11555,7.5,7389,7.6,642,7.4,3032,7.6,3539,7.7,1747,7.8,248,7.6,632,7.8,818,7.3,363,7.7,4505,7.4,4147
tt0028773,Dead End,1937,1938-07-01,"Crime, Drama, Film-Noir",93,USA,English,William Wyler,"Lillian Hellman, Sidney Kingsley",The Samuel Goldwyn Company,7.3,5662,60,42,7.3,5662,7.3,3885,7.2,287,7.2,1541,7.4,1981,7.3,610,7.2,65,7.2,242,7.4,283,7.0,296,7.5,2225,7.2,2063
tt0029217,Marked Woman,1937,1937-04-10,"Crime, Film-Noir, Thriller",96,USA,English,"Lloyd Bacon, Michael Curtiz","Robert Rossen, Abem Finkel",First National Pictures,7.2,3071,53,22,7.2,3071,7.1,1861,7.1,120,7.0,665,7.2,1035,7.5,596,7.7,75,7.2,208,7.6,304,6.9,222,7.3,1149,7.1,1206
tt0029511,San Quentin,1937,1937-08-07,"Crime, Drama, Film-Noir",70,USA,English,Lloyd Bacon,"Peter Milne, Humphrey Cobb",Warner Bros.,6.6,1568,33,14,6.6,1568,6.5,1107,6.7,52,6.5,418,6.5,616,6.9,136,7.3,15,6.8,46,6.8,73,6.3,159,6.6,653,6.5,551
tt0029542,The Shadow Strikes,1937,1937-10-29,"Crime, Film-Noir, Mystery",61,USA,English,Lynn Shores,"Walter B. Gibson, Al Martin",Colony Pictures,4.9,311,18,4,4.9,311,4.8,221,4.7,11,4.6,44,4.9,159,5.3,25,4.3,3,5.4,5,5.4,17,5.0,48,5.1,156,4.5,74
tt0029656,They Gave Him a Gun,1937,1937-05-07,"Crime, Drama, Film-Noir",94,USA,English,W.S. Van Dyke,"William J. Cowen, Cyril Hume",Metro-Goldwyn-Mayer (MGM),6.4,302,12,2,6.4,302,6.4,201,6.3,3,6.2,43,6.5,150,6.1,55,6.3,3,6.5,14,5.9,34,6.3,63,6.4,195,6.5,50
tt0029658,They Won't Forget,1937,1937-10-09,"Drama, Film-Noir, Mystery",95,USA,English,Mervyn LeRoy,"Ward Greene, Robert Rossen",Warner Bros.,7.2,1369,40,14,7.2,1369,7.2,886,7.6,35,7.1,249,7.2,585,7.2,176,7.7,21,7.1,58,7.2,94,6.9,155,7.3,667,7.0,359
tt0029808,You Only Live Once,1937,1937-01-29,"Crime, Drama, Film-Noir",86,USA,English,Fritz Lang,"Gene Towne, C. Graham Baker",Walter Wanger Productions,7.4,5105,43,39,7.4,5105,7.4,3691,7.6,463,7.4,1792,7.2,1358,7.3,483,7.6,101,7.2,227,7.4,142,7.1,262,7.2,1232,7.4,2695
